34,55
56,220
23,12000
27,130
10,8
24,1
10,8.35
38,200
26,3
10,4
33,1.2
28,4000
33,400
8,4
48,5
34,1
33,5
33,5
7,4
10,1
89,2000
36,2
11,500
33,1
62,16
35,1
33,8700
33,320
6,1.4
20,252
4,1150
19,1
18,245
10,1
27,170.4
19,86000
33,5
5,2968
10,5
62,30
5,5
15,0.6
44,865
9,2500
7,1
24,0.5
18,1
10,3
108,20
16,166836
8,1.75
17,500
3,250
10,55
13,2
69,3
25,5
5,238
10,1948
10,2700
33,134
11,3
11,40
225,1
33,500
12,850
18,2.43
10,1
54,5
44,4
10,2
82,5
40,30
51,22
87,1
38,3
4,2000
40,195
10,3
5,1
50,22.3
20,55.6
10,2
11,15
7,131
33,5
49,30
13,3
5,2000
80,300
25,4.15
13,35
24,3
10,1
18,40000
30,10000
11,8
208,5
33,1
10,1
22,1
54,3
29,2.227
10,1000
10,1
19,2
19,5600
2,4
31,1.714
33,3
40,80
24,5
58,236.4
24,800
10,43
27,750
50,31
71,1
13,80
23,5600
10,60.929
9,2
10,3
41,3
20,39
21,1
22,4
5,1
15,3
62,1
10,632
33,1
7,1500
33,3
33,1.45
0,100
58,1
33,1
36,8
10,75
33,73.5
15,1
14,3
33,1
33,24
12,1
10,140
5,310
12,2
60,753
33,5
33,40
10,1
31,7
33,0.5
10,358
10,50
16,4
18,285
32,3.7
10,5200
22,600
23,35
10,348.5
33,1
7,5
12,25
16,28000
19,4
33,1
10,10
5,3
41,1
5,1000
10,4200
10,80
19,1
81,2200
27,1
21,5
13,8000
33,2
21,2
8,58.35
33,41
35,6
33,43
35,0.32
5,1
25,6
33,36
18,2.2
11,506
10,0.5
