Focal Depth , Magnitdue ,Total Damage
69,6.8,3
27,7.2,30
47,7.3,1
5,5.4,5
5,6,1000
33,9.2,400
40,7.5,80
10,5.5,2
36,8.7,0.01
18,6.3,3
36,6,1
59,6.6,28
23,6,35
38,6.3,4
36,7,3
23,6.3,1
17,5.9,14
38,8.1,3
47,7.8,1
80,6.8,300
10,6.5,140
15,5.3,1
5,4.6,2
33,6,320
15,7.2,0.6
33,4.6,1
30,7.5,1
7,8.2,131
36,7.3,8
23,7.4,2
13,7.3,35
38,6.6,200
13,7.4,2
22,7.8,2
35,6.2,0.32
33,7,1
33,6.3,24
10,4.8,8.35
11,7.1,2
23,4.8,1
20,7.4,55.6
18,5.7,1
43,7.9,50000
34,7,1
16,6.7,3
8,6.6,0.4
8,7.3,1.75
25,7.6,6
33,4.6,41
8,6.5,505
35,5.2,6
58,7.8,236.4
5,6.2,2968
43,7.5,390
33,7.5,64
33,6.5,100
48,6.5,5.75
48,7.7,5
98,6.3,3
13,8.1,4
22,6.2,4
4,6.9,1
15,5.6,3
2,7.7,4
5,7.5,4
9,6.5,4
40,6.5,195
23,7.5,5600
33,8,134
89,7.5,2000
37,7.3,0.1
41,5.9,3
33,8,1.2
13,7.4,80
14,6.6,3
44,7.7,865
3,6.4,250
33,7.8,50
49,7.6,30
10,6.9,2700
25,5.8,4.15
28,6.5,2
62,6.1,16
108,6.4,20
33,7.7,4
33,6.3,3
10,6.7,3
11,5.9,11.5
4,5.2,2000
9,5.8,5
7,6.1,2
14,6.4,5
62,5.4,3
8,5.1,1
18,6.5,245
55,5.6,2
73,6,2
10,7.7,5200
71,4.9,1
41,5.2,3
33,6.7,5
33,6.8,5
10,4.6,0.5
33,6.7,812
33,6.7,5
24,5.2,5
33,7.1,4
16,5.5,5
33,5.9,5
54,5.4,5
6,6,1
40,5.5,1
9,3.5,3.3
82,6.2,5
21,5.5,12
5,6,2000
36,6.6,1
33,5.9,1.45
24,4.7,0.5
33,4.9,61
22,4.9,4
33,4.6,5
37,7.3,2
79,6.6,1
104,6.5,0.5
10,6.2,1
24,7.7,800
33,6.2,5
37,6.1,1
41,5,1
29,6.5,2.227
15,7.3,1
14,7.3,2
19,5.3,2200
10,5,50
37,5,2
12,6.7,6.5
11,6.2,8
215,7.2,3
33,6.6,0.5
33,5.8,1
208,6.1,5
15,7,5
8,6.1,8
12,5.3,25
10,5.8,5
33,5.2,1
10,6.1,43
10,6.4,38
60,5.3,1
23,5.6,2
5,6.9,238
37,5.3,2
40,8,2575
33,6.5,1
38,7.5,2
5,5.8,1
33,6.1,1
46,7.2,1
99,6.6,1
7,7.5,5
28,8.1,4000
16,5.9,80
22,6,1
33,5,2
51,4.6,22
33,5.3,60
10,5.9,2
19,6.2,1
102,7.1,0.5
12,6,4.5
9,6.2,1
132,6.9,3
11,5.8,300
7,5.4,1500
5,5.5,1
34,7.8,1
30,5.5,1
21,5.6,5
33,5,2
19,6.6,25
54,6.7,1
11,6.6,22
41,4.6,1
70,6.9,3
37,6.4,1
10,6.2,12
10,5.7,358
8,4.8,2
5,6.2,3
33,6.5,3
17,6.2,1
51,5.7,1
69,6,2
18,7.3,269
10,4.6,71
19,6.6,1
30,6.1,100
13,6.2,164
33,5.6,91
12,6.3,1
19,6.9,5600
33,4.7,5
18,5.9,1
24,7.5,3
10,5.4,1000
5,5.5,30
10,6.1,40
22,7,1
8,6.9,58.35
24,6.5,1
89,6.7,700
18,7.1,1
14,4.8,103
25,7.8,3000
33,6.1,1
5,4.4,1
114,6,250
11,6.7,2
48,6.8,32
11,5.3,500
12,6.2,1
13,5.9,2
17,5.7,3
10,5.5,3
21,6.4,1
20,6.7,252
10,6.2,36
9,6.1,200
10,5.5,1
11,5.1,104
29,6.5,3
11,5.6,30
5,4.7,30
26,5.1,3
5,6.2,200
16,5,2
58,4.4,1
27,6.9,750
21,5.2,1
12,6.3,1
15,7.1,2
50,6.2,31
16,6,100
23,7,1
1,7.6,3
5,6.7,2
27,7.5,130
40,7.7,30
22,5.3,1200
14,7,1
10,7.4,115
28,7.8,2103
20,5.8,1
17,7.7,1207
59,7.8,1
7,6.2,4
25,6.9,5
18,6.7,40000
14,6.2,2
23,6.9,2000
6,6.1,1.4
19,6.1,3
18,7.8,2.2
631,8.2,3
9,5.9,2
32,7.1,3.7
27,7.8,170.4
33,5.3,3
22,6.9,36896
14,6.6,25
11,7.1,750
14,6.5,2
13,6.8,3
33,6.4,3
33,6.8,4
33,8,200
10,6.2,80
24,7.9,2
11,6.6,506
33,8.2,3
10,7.5,2
26,6,330
10,6.5,1948
33,7.1,3
22,5.6,6
33,5.9,1
5,6.7,25
10,7.2,4
36,5.8,143
20,7,81
10,6,2
33,5.9,3
58,7.1,300
54,6.1,3
30,5.7,4
33,6.6,27
236,6.4,1
9,6.6,50
10,5.2,1
33,5.8,1
24,6.6,3
33,6.6,4
33,6.3,4
10,6.2,100
33,7.2,1
10,5.5,17
33,5.6,1543
33,7.7,107
10,4.5,22.6
17,6.2,700
10,4.8,1
33,6,500
15,6.6,394
87,6.8,1
33,5.4,18
10,4.2,3
13,7.6,50000
10,6,4200
33,7.7,8700
61,7.5,164.8
33,5.9,0.786
62,4.4,30
10,5.3,44
22,5.7,171
10,7.2,4948
19,5.7,1
33,7.3,1
56,6.5,220
10,5.6,60.929
33,5.9,73.5
33,5.3,1
5,4.1,1
33,7.9,4
10,6,80
10,6.5,1
33,6.4,6
10,6.8,8
33,4.2,43
10,5,50
34,6.5,1
10,6.7,3
60,7.7,753
16,7.7,166836
10,6.6,348.5
33,5.6,3
52,6.8,400
33,5.5,36
33,8.4,3
33,7.6,1
21,7.2,2
31,7.5,1.714
8,6.1,3
62,6.6,1
40,4.5,55
10,6.5,300
10,6.5,11
5,6,500
13,7.6,70
9,4.8,1
10,7.6,632
10,5.7,3
5,7.9,1
33,6.3,40
10,5.7,1
33,5.2,2
10,6.1,2
10,5.7,2
31,7,7
8,5.7,200
33,6.8,1
10,5.9,75
10,5.5,3
10,6.3,1
24,5.4,3
10,6.4,1
27,8.3,90
10,5.8,1
10,5.1,30
33,5.6,1
10,6.8,1
8,6.6,40
10,6.6,4
45,5.8,1
10,4.4,3
27,5.3,1
11,5.4,40
0,6.4,926
19,5.4,2
187,6.5,1
17,6.3,400
8,5.2,1
5,5.4,1
7,5.7,1
10,7.4,40
10,4.8,1
16,6.6,28000
15,7.2,10
14,6.3,1
36,5,2
10,7.1,55
39,7,24
35,5.4,2
10,5.8,3
30,9.1,10000
5,4.3,2
11,5.6,1
10,4.9,45
10,6.6,3
10,5.2,4
10,6,2
225,6.5,1
44,5.3,4
7,6.1,4
22,7.6,55
13,6.3,4
34,7.7,55
39,6.7,73
30,5.8,2
5,6.1,310
10,6.6,12500
19,4.3,3
39,8,1090
10,5,1
29,5.1,10
40,7.7,2
7,4.8,1
25,5.9,4
12,5.9,1
16,4.5,2
19,7.9,86000
16,6.3,3
33,5.5,1
19,6.3,4
9,6.3,2500
10,5.7,2
18,8.1,285
81,7.5,2200
10,6.6,10
18,6.6,2.43
47,5.1,1.5
29,6.5,21.8
13,7,8000
25,7,1
23,8.8,12000
21,6.3,1000
12,6.1,2
4,7.2,1150
17,6.9,500
35,4.9,1
12,7,6500
33,5.2,1
20,7.8,39
6,6.1,4
30,9,220085.456
8,6.8,3.6
6,6,3000
20,6.1,2
10,5.7,1
50,6.9,22.3
16,7.1,4
28,5.6,10.5
11,6.7,15
20,7.4,1
41,7.2,1
10,5.4,8
43,5.4,1
10,5.9,350
18,6.3,68
11,6.5,3000
10,6.3,1
28,7.6,1
10,5.6,1000
24,7.3,3
19,6,2
12,6.3,850
0,2.1,100
15,5.7,90
10,5.7,1
8,6,4
67,6.6,1
15,7.7,3
12,6.1,178
13,6.1,3
10,5.1,1
10,4.1,1.36
10,6.9,3
10,6.1,4
11,6,3
10,6.2,1
16,5.2,14.65
15,7.8,10000
22,8.3,600
11,6.5,4
10,7,4
19,7.8,4
10,6.6,1
